id;longueur_petale;largeur_petale;espece
1;1.4;0.2;iris setosa
2;1.4;0.2;iris setosa
3;1.3;0.2;iris setosa
4;1.5;0.2;iris setosa
5;1.4;0.2;iris setosa
6;1.7;0.4;iris setosa
7;1.4;0.3;iris setosa
8;1.5;0.2;iris setosa
9;1.4;0.2;iris setosa
10;1.5;0.1;iris setosa
11;1.5;0.2;iris setosa
12;1.6;0.2;iris setosa
13;1.4;0.1;iris setosa
14;1.1;0.1;iris setosa
15;1.2;0.2;iris setosa
16;1.5;0.4;iris setosa
17;1.3;0.4;iris setosa
18;1.4;0.3;iris setosa
19;1.7;0.3;iris setosa
20;1.5;0.3;iris setosa
21;1.7;0.2;iris setosa
22;1.5;0.4;iris setosa
23;1.0;0.2;iris setosa
24;1.7;0.5;iris setosa
25;1.9;0.2;iris setosa
26;1.6;0.2;iris setosa
27;1.6;0.4;iris setosa
28;1.5;0.2;iris setosa
29;1.4;0.2;iris setosa
30;1.6;0.2;iris setosa
31;1.6;0.2;iris setosa
32;1.5;0.4;iris setosa
33;1.5;0.1;iris setosa
34;1.4;0.2;iris setosa
35;1.5;0.1;iris setosa
36;1.2;0.2;iris setosa
37;1.3;0.2;iris setosa
38;1.5;0.1;iris setosa
39;1.3;0.2;iris setosa
40;1.5;0.2;iris setosa
41;1.3;0.3;iris setosa
42;1.3;0.3;iris setosa
43;1.3;0.2;iris setosa
44;1.6;0.6;iris setosa
45;1.9;0.4;iris setosa
46;1.4;0.3;iris setosa
47;1.6;0.2;iris setosa
48;1.4;0.2;iris setosa
49;1.5;0.2;iris setosa
50;1.4;0.2;iris setosa
51;4.7;1.4;iris virginica
52;4.5;1.5;iris virginica
53;4.9;1.5;iris virginica
54;4.0;1.3;iris virginica
55;4.6;1.5;iris virginica
56;4.5;1.3;iris virginica
57;4.7;1.6;iris virginica
58;3.3;1.0;iris virginica
59;4.6;1.3;iris virginica
60;3.9;1.4;iris virginica
61;3.5;1.0;iris virginica
62;4.2;1.5;iris virginica
63;4.0;1.0;iris virginica
64;4.7;1.4;iris virginica
65;3.6;1.3;iris virginica
66;4.4;1.4;iris virginica
67;4.5;1.5;iris virginica
68;4.1;1.0;iris virginica
69;4.5;1.5;iris virginica
70;3.9;1.1;iris virginica
71;4.8;1.8;iris virginica
72;4.0;1.3;iris virginica
73;4.9;1.5;iris virginica
74;4.7;1.2;iris virginica
75;4.3;1.3;iris virginica
76;4.4;1.4;iris virginica
77;4.8;1.4;iris virginica
78;5.0;1.7;iris virginica
79;4.5;1.5;iris virginica
80;3.5;1.0;iris virginica
81;3.8;1.1;iris virginica
82;3.7;1.0;iris virginica
83;3.9;1.2;iris virginica
84;5.1;1.6;iris virginica
85;4.5;1.5;iris virginica
86;4.5;1.6;iris virginica
87;4.7;1.5;iris virginica
88;4.4;1.3;iris virginica
89;4.1;1.3;iris virginica
90;4.0;1.3;iris virginica
91;4.4;1.2;iris virginica
92;4.6;1.4;iris virginica
93;4.0;1.2;iris virginica
94;3.3;1.0;iris virginica
95;4.2;1.3;iris virginica
96;4.2;1.2;iris virginica
97;4.2;1.3;iris virginica
98;4.3;1.3;iris virginica
99;3.0;1.1;iris virginica
100;4.1;1.3;iris virginica
101;6.0;2.5;iris versicolor
102;5.1;1.9;iris versicolor
103;5.9;2.1;iris versicolor
104;5.6;1.8;iris versicolor
105;5.8;2.2;iris versicolor
106;6.6;2.1;iris versicolor
107;4.5;1.7;iris versicolor
108;6.3;1.8;iris versicolor
109;5.8;1.8;iris versicolor
110;6.1;2.5;iris versicolor
111;5.1;2.0;iris versicolor
112;5.3;1.9;iris versicolor
113;5.5;2.1;iris versicolor
114;5.0;2.0;iris versicolor
115;5.1;2.4;iris versicolor
116;5.3;2.3;iris versicolor
117;5.5;1.8;iris versicolor
118;6.7;2.2;iris versicolor
119;6.9;2.3;iris versicolor
120;5.0;1.5;iris versicolor
121;5.7;2.3;iris versicolor
122;4.9;2.0;iris versicolor
123;6.7;2.0;iris versicolor
124;4.9;1.8;iris versicolor
125;5.7;2.1;iris versicolor
126;6.0;1.8;iris versicolor
127;4.8;1.8;iris versicolor
128;4.9;1.8;iris versicolor
129;5.6;2.1;iris versicolor
130;5.8;1.6;iris versicolor
131;6.1;1.9;iris versicolor
132;6.4;2.0;iris versicolor
133;5.6;2.2;iris versicolor
134;5.1;1.5;iris versicolor
135;5.6;1.4;iris versicolor
136;6.1;2.3;iris versicolor
137;5.6;2.4;iris versicolor
138;5.5;1.8;iris versicolor
139;4.8;1.8;iris versicolor
140;5.4;2.1;iris versicolor
141;5.6;2.4;iris versicolor
142;5.1;2.3;iris versicolor
143;5.1;1.9;iris versicolor
144;5.9;2.3;iris versicolor
145;5.7;2.5;iris versicolor
146;5.2;2.3;iris versicolor
147;5.0;1.9;iris versicolor
148;5.2;2.0;iris versicolor
149;5.4;2.3;iris versicolor
150;5.1;1.8;iris versicolor
